title,"superficie, chambres",location,description,price,link_ref,img_url
"Super appartement sur CFC

					","Super appartement sur CFC

					","Casablanca Finance City à
	 					Casablanca
				","un joli studio neuf ,composé d’une chambre avec placard,salon avec climatisation et une belle terrase et cuisine équipée séparée et salle de bain ascenseur et parking ,salle du sport ,pour plus d’info
							...","8 500 DH
					",https://www.mubawab.ma/fr/a/7772386/super-appartement-sur-cfc,https://www.mubawab-media.com/ad/7/772/386F/m/photo_0_56442258.jpg
"Studio neuf à louer sur Les Princesses

					","Studio neuf à louer sur Les Princesses

					","Les princesses à
	 					Casablanca
				","nous mettons en location un superbe studio, entièrement meublé, d'une superficie de 57m2², situé dans une résidence haut standing sécurisée, au 5 eme étage, quartier les princesses,   l'appartement se
							...","7 800 DH
					",https://www.mubawab.ma/fr/a/7786111/studio-neuf-%C3%A0-louer-sur-les-princesses,https://www.mubawab-media.com/ad/7/786/111F/m/photo_0_57243391.jpg
"Magnifique appartement meublé de 3 chambr...

					","Magnifique appartement meublé de 3 chambr...

					","Racine à
	 					Casablanca
				","nous mettons en location un superbe appartement, entièrement meublé, d'une superficie de 170m², situé dans une résidence haut standing sécurisée à racine, place les iris,   l'appartement se compose d'un
							...","17 000 DH
					",https://www.mubawab.ma/fr/a/7786106/magnifique-appartement-meubl%C3%A9-de-3-chambres-%C3%A0-louer-sur-racine-les-iris,https://www.mubawab-media.com/ad/7/786/106F/m/photo_0_57243102.jpg
"Location Appartement Quartier Maarif Ente...

					","Location Appartement Quartier Maarif Ente...

					","Maârif Extension à
	 					Casablanca
				","appartement à louer d’une superficie de 85m2 au quartier maarif extension, il se compose d’un double salon avec balcon, une cuisine équipée, deux chambre avec placard, une salle de bain avec baignoire, une
							...","5 000 DH
					",https://www.mubawab.ma/fr/a/7735359/location-appartement-quartier-maarif-entension,https://www.mubawab-media.com/ad/7/735/359F/m/64CDC1A5-D804-4089-9005-A8653DDCA584_55634452.jpeg
"Location Appartement Casa Finance City

					","Location Appartement Casa Finance City

					","Hay Hassani à
	 					Casablanca
				","location longue durée - casa finance city  - meublé avec goût.

nous mettons en location longue durée un joli appartement composé de : 

un salon
2 chambres 
2 salle de bain 
belle terrasse.
belle cuisine
							...","13 000 DH
					",https://www.mubawab.ma/fr/a/7678308/location-appartement-casa-finance-city,https://www.mubawab-media.com/ad/7/678/308F/m/960CD91E-2306-444D-A153-39B971744432_56344385.jpeg
"Location Appartement Casa Finance City

					","Location Appartement Casa Finance City

					","Casablanca Finance City à
	 					Casablanca
				","location longue durée - casa finance city  - étage élevé, 160m2 dont 40m2

nous mettons en location longue durée un joli appartement composé de : 

-un salon
-3 chambres dont une suite parentale.
-2 salle
							...","13 500 DH
					",https://www.mubawab.ma/fr/a/7735363/location-appartement-casa-finance-city,https://www.mubawab-media.com/ad/7/735/363F/m/4DD120F0-0A5D-4EB3-B526-D1D995395124_56338604.jpeg
"Location Appartement Casa Finance City

					","Location Appartement Casa Finance City

					","Casablanca Finance City à
	 					Casablanca
				","location longue durée 

casa finance city- neuf - grande terasse - meublé ou vide  - sud ouest.

nous mettons en location un joli appartement composé de : 

-un salon
-2 chambre dont une suite parentale
-2
							...","15 000 DH
					",https://www.mubawab.ma/fr/a/7612325/location-appartement-casa-finance-city,https://www.mubawab-media.com/ad/7/612/325F/m/6861D4D6-19A8-470C-A09D-F10D36861C4E_56330520.jpeg
"Location Magnifique Appartement à Casa Fi...

					","Location Magnifique Appartement à Casa Fi...

					","Casablanca Finance City à
	 					Casablanca
				","magnifique appartement à louer meublé neuf jamais habité à casa finance city d’une superficie 130m au 1er étage il se compose de :
deux chambres et un salon 
deux salles de bain et des toilettes
deux
							...","13 000 DH
					",https://www.mubawab.ma/fr/a/7402682/location-magnifique-appartement-%C3%A0-casa-finace-city,https://www.mubawab-media.com/ad/7/402/682F/m/photo_0_22682743.jpg
"Palmier, à louer appartement 3 chambres

					","Palmier, à louer appartement 3 chambres

					","Palmier à
   						Casablanca
				","quartier palmier, je mets en location un appartement récent, d une superficie de 145m2 au 3eme étage d un immeuble haut standing.
composé d une grande réception 3 chambres dont une parentale 2 salles de bain, 2
						...","8 000 DH
					",https://www.mubawab.ma/fr/a/7785420/palmier-%C3%A0-louer-appartement-3-chambres,https://www.mubawab-media.com/ad/7/785/420F/m/photo_0_57250976.jpg
"Appartement avec terrasse sans vis à vis...

					","Appartement avec terrasse sans vis à vis...

					","Palmier à
   						Casablanca
				","nous vous proposons un bel appartement non meublé au quartier palmier en étage élevé avec une belle terrasse de 40m2 vous offrant une vue dégagée et ensoleillement toute la journée.
cet appartement est composé
						...","7 500 DH
					",https://www.mubawab.ma/fr/a/7781629/appartement-avec-terrasse-sans-vis-%C3%A0-vis-palmier,https://www.mubawab-media.com/ad/7/781/629F/m/IMG-20230922-WA0029_56606184.jpg
